filename,mean,std,median,min,max,q25,q75,iqr,sem,rms,sum,abs_mean,cv,peak_to_valley
GRA SID4 22h15m16s124ms_GMod.csv,0.5536857762499999,0.5762223646989674,0.4739,0.0,15.6463,0.0,0.9376,0.9376,0.0014405559117474185,0.799123317892489,88589.7242,0.5536857762499999,1.0407028488262104,15.6463
GRA SID4 22h15m16s327ms_GMod.csv,0.5521133206250001,0.5739532643929374,0.4745,0.0,17.3174,0.0,0.9342250000000001,0.9342250000000001,0.0014348831609823434,0.7963977709845674,88338.13130000001,0.5521133206250001,1.0395569948252192,17.3174
GRA SID4 22h15m16s531ms_GMod.csv,0.5496826924999999,0.5682486519305527,0.4721,0.0,14.2305,0.0,0.9326,0.9326,0.0014206216298263818,0.7906045627803605,87949.23079999999,0.5496826924999999,1.033775775884592,14.2305
GRA SID4 22h15m16s736ms_GMod.csv,0.5575081999999999,0.5737429126711034,0.4842,0.0,16.389,0.0,0.9477249999999999,0.9477249999999999,0.0014343572816777586,0.7999964159461904,89201.31199999999,0.5575081999999999,1.029120132529126,16.389
GRA SID4 22h15m16s932ms_GMod.csv,0.550714028125,0.5699415499860176,0.4735,0.0,18.0814,0.0,0.9347,0.9347,0.0014248538749650442,0.7925385044056613,88114.2445,0.550714028125,1.0349138044030695,18.0814
GRA SID4 22h15m17s128ms_GMod.csv,0.549003166875,0.5652959394378338,0.4741,0.0,16.8763,0.0,0.933225,0.933225,0.0014132398485945845,0.788011407999156,87840.5067,0.549003166875,1.0296770101610613,16.8763
GRA SID4 22h15m17s327ms_GMod.csv,0.55149214375,0.5716562426745447,0.4745,0.0,16.1115,0.0,0.9331,0.9331,0.001429140606686362,0.794312534185301,88238.743,0.55149214375,1.0365628035721375,16.1115
GRA SID4 22h15m17s526ms_GMod.csv,0.5522524637499999,0.5719935224247436,0.47495,0.0,16.8707,0.0,0.9368,0.9368,0.0014299838060618589,0.7950832211536883,88360.3942,0.5522524637499999,1.0357464383946045,16.8707
GRA SID4 22h15m17s733ms_GMod.csv,0.5518297656249999,0.571859417694183,0.4742,0.0,15.8688,0.0,0.9337,0.9337,0.0014296485442354576,0.7946931734577266,88292.76249999998,0.5518297656249999,1.0362967953449582,15.8688
GRA SID4 22h15m17s933ms_GMod.csv,0.548239025,0.5691025236086106,0.4707,0.0,14.7283,0.0,0.9263,0.9263,0.0014227563090215265,0.7902162277978889,87718.244,0.548239025,1.038055478826179,14.7283
GRA SID4 22h15m18s132ms_GMod.csv,0.550478060625,0.5722216296531749,0.47155,0.0,15.8081,0.0,0.9315,0.9315,0.0014305540741329373,0.7940161473090063,88076.4897,0.550478060625,1.0394994289190167,15.8081
GRA SID4 22h15m18s327ms_GMod.csv,0.551534569375,0.5692066827570799,0.4742,0.0,15.7797,0.0,0.9341,0.9341,0.0014230167068926996,0.7925809762632695,88245.53110000001,0.551534569375,1.032041714812317,15.7797
GRA SID4 22h15m18s523ms_GMod.csv,0.551115765625,0.5716085124679562,0.471,0.0,16.9289,0.0,0.9333,0.9333,0.0014290212811698905,0.7940168994073347,88178.52249999999,0.551115765625,1.0371841056273885,16.9289
GRA SID4 22h15m18s728ms_GMod.csv,0.54989428875,0.5669834831573096,0.474,0.0,15.7241,0.0,0.9322,0.9322,0.001417458707893274,0.7898430159113107,87983.0862,0.54989428875,1.0310772356721964,15.7241
GRA SID4 22h15m18s932ms_GMod.csv,0.550640965625,0.5632849200756553,0.4773,0.0,16.2706,0.0,0.939425,0.939425,0.0014082123001891384,0.7877140287865816,88102.5545,0.550640965625,1.0229622480689955,16.2706
GRA SID4 22h15m19s132ms_GMod.csv,0.54912974375,0.562502114696239,0.475,0.0,16.1228,0.0,0.9358,0.9358,0.0014062552867405975,0.7860980390223282,87860.759,0.54912974375,1.0243519333953666,16.1228
GRA SID4 22h15m19s333ms_GMod.csv,0.554124773125,0.5688528900309335,0.48,0.0,16.6383,0.0,0.943,0.943,0.001422132225077334,0.7941321377625468,88659.9637,0.554124773125,1.0265790623686566,16.6383
GRA SID4 22h15m19s531ms_GMod.csv,0.5507152318749999,0.5652095820264375,0.4755,0.0,14.6923,0.0,0.9375,0.9375,0.0014130239550660937,0.7891432959842829,88114.4371,0.5507152318749999,1.0263191379346144,14.6923
GRA SID4 22h15m19s723ms_GMod.csv,0.5538672456249999,0.5693452201018607,0.4803,0.0,17.7666,0.0,0.9424,0.9424,0.0014233630502546518,0.7943052810265632,88618.75929999999,0.5538672456249999,1.0279452785809118,17.7666
GRA SID4 22h15m19s925ms_GMod.csv,0.5499572175000002,0.5647808792342985,0.4768,0.0,17.4857,0.0,0.935925,0.935925,0.0014119521980857463,0.7883072935220122,87993.15480000002,0.5499572175000002,1.0269542089122077,17.4857
