filename,mean,std,median,min,max,q25,q75,iqr,sem,rms,sum,abs_mean,cv,peak_to_valley
GRA SID4 22h15m16s124ms_GradY.csv,2.4338124999991352e-05,0.5260740245276454,0.0,-5.6342,12.6712,-0.1859,0.1505,0.33640000000000003,0.0013151850613191136,0.5260723811067375,3.894099999998616,0.326315313125,21615.223149384317,18.3054
GRA SID4 22h15m16s327ms_GradY.csv,5.962499999998272e-06,0.5248673459296799,0.0,-5.8166,12.9607,-0.1887,0.1474,0.3361,0.0013121683648241998,0.5248657057505282,0.9539999999997235,0.326239235,88028.05163971159,18.7773
GRA SID4 22h15m16s531ms_GradY.csv,4.724750000000313e-05,0.5222332313778476,0.0,-5.8758,14.1301,-0.1885,0.1491,0.3376,0.001305583078444619,0.5222316015337448,7.559600000000501,0.32546356499999995,11053.139749715292,20.0059
GRA SID4 22h15m16s736ms_GradY.csv,1.3983750000005556e-05,0.5258500825423182,0.0,-7.6113,13.4883,-0.1877,0.151325,0.339025,0.0013146252063557956,0.5258484394441757,2.237400000000889,0.32768811374999995,37604.365419701004,21.099600000000002
GRA SID4 22h15m16s932ms_GradY.csv,1.2115625000001274e-05,0.5224958673524082,0.0,-5.601,17.5858,-0.1875,0.1476,0.3351,0.0013062396683810205,0.5224942346907404,1.9385000000002037,0.324288336875,43125.78378965753,23.186799999999998
GRA SID4 22h15m17s128ms_GradY.csv,5.7320000000004256e-05,0.517927565419081,0.0,-5.5218,14.3656,-0.1857,0.147025,0.332725,0.0012948189135477026,0.5179259500647752,9.171200000000681,0.32313898375,9035.721500057938,19.8874
GRA SID4 22h15m17s327ms_GradY.csv,4.746875000000159e-05,0.5235631016033084,0.0,-5.8027,13.8352,-0.188525,0.147525,0.33604999999999996,0.0013089077540082712,0.5235614676179389,7.595000000000255,0.32516547375000004,11029.637194441684,19.637900000000002
GRA SID4 22h15m17s526ms_GradY.csv,9.279999999999972e-05,0.5219811858620002,0.0,-5.5958,15.6202,-0.1894,0.145625,0.335025,0.0013049529646550005,0.5219795629174575,14.847999999999956,0.32461333,5624.797200831946,21.216
GRA SID4 22h15m17s733ms_GradY.csv,2.6576875000000655e-05,0.5217900798496735,0.0,-5.7833,12.0776,-0.187925,0.1491,0.337025,0.0013044751996241838,0.521788449929962,4.252300000000105,0.325008386875,19633.23604511157,17.8609
GRA SID4 22h15m17s933ms_GradY.csv,8.34793750000017e-05,0.5177461522587542,0.0,-5.7688,14.5663,-0.1892,0.143,0.3322,0.0012943653806468856,0.5177445410294661,13.356700000000274,0.32149698062500004,6202.084599419426,20.3351
GRA SID4 22h15m18s132ms_GradY.csv,6.984562499999924e-05,0.5212179437029499,0.0,-5.6234,15.2244,-0.1854,0.1475,0.3329,0.0013030448592573748,0.5212163195741645,11.17529999999988,0.32315290812499997,7462.427836253563,20.8478
GRA SID4 22h15m18s327ms_GradY.csv,5.369562500000029e-05,0.5201528187807506,0.0,-5.7171,14.6916,-0.1841,0.1496,0.3337,0.0013003820469518765,0.5201511960721733,8.591300000000047,0.32369751187499995,9687.061266047029,20.4087
GRA SID4 22h15m18s523ms_GradY.csv,6.072187500000155e-05,0.5205801665001774,0.0,-5.7383,15.6703,-0.1817,0.1496,0.33130000000000004,0.0013014504162504434,0.5205785432260078,9.715500000000247,0.32227672562500004,8573.189775957582,21.4086
GRA SID4 22h15m18s728ms_GradY.csv,1.3539374999999154e-05,0.5168751378647204,0.0,-5.9493,15.0091,-0.1828,0.149025,0.331825,0.001292187844661801,0.5168735228047211,2.1662999999998647,0.32170828312500005,38175.6986337297,20.9584
GRA SID4 22h15m18s932ms_GradY.csv,3.4524999999973716e-06,0.5165041552753669,0.0,-5.6432,12.6147,-0.186425,0.1485,0.33492500000000003,0.0012912603881884172,0.5165025412088986,0.5523999999995794,0.32330866374999995,149602.89809496366,18.2579
GRA SID4 22h15m19s132ms_GradY.csv,2.2800624999996444e-05,0.513491185687184,0.0,-5.8487,14.4609,-0.1847,0.1453,0.33,0.00128372796421796,0.5134895815309328,3.648099999999431,0.320220876875,22520.92489422282,20.3096
GRA SID4 22h15m19s333ms_GradY.csv,4.843437499999368e-05,0.5180632206278519,0.0,-5.648,16.0554,-0.1867,0.1429,0.3296,0.0012951580515696299,0.5180616039418598,7.749499999998989,0.322215770625,10696.18860430698,21.7034
GRA SID4 22h15m19s531ms_GradY.csv,5.143562499999916e-05,0.5175923851630706,0.0,-11.2531,5.6846,-0.1888,0.1442,0.33299999999999996,0.0012939809629076765,0.5175907702400493,8.229699999999866,0.324004516875,10062.916025617711,16.9377
GRA SID4 22h15m19s723ms_GradY.csv,4.2548125000001845e-05,0.5174878338548967,0.0,-5.7999,10.2012,-0.186,0.1498,0.3358,0.0012937195846372419,0.5174862184520594,6.807700000000295,0.323754260625,12162.411896939344,16.0011
