filename,mean,std,median,min,max,q25,q75,iqr,sem,rms,sum,abs_mean,cv,peak_to_valley,peak_intensity,beam_pixels_10pct,beam_mean_10pct,beam_std_10pct,power_fraction_10pct
INT SID4 22h15m16s124ms.csv,1069.14224156625,1075.082300062097,757.3821,0.0,3488.679,0.0,2132.7668,2132.7668,2.687705750155242,1516.1991494674817,171062758.65060002,1069.14224156625,1.0055559103970526,3488.679,3488.679,97066,1750.4979293748584,849.5274472319733,0.9932835957577024
INT SID4 22h15m16s327ms.csv,1072.9426878218749,1087.8194616223575,743.6566499999999,0.0,3576.3862,0.0,2134.516575,2134.516575,2.7195486540558935,1527.923360803775,171670830.0515,1072.9426878218749,1.0138653946472036,3576.3862,3576.3862,95885,1775.188001030401,860.1789217528521,0.9915132432675783
INT SID4 22h15m16s531ms.csv,1069.646369519375,1080.0535136309406,750.54275,0.0,3524.6802,0.0,2134.9141,2134.9141,2.7001337840773516,1520.082779788676,171143419.12309998,1069.646369519375,1.009729518472765,3524.6802,3524.6802,96174,1765.4408860305282,850.4934143200568,0.9920890481390574
INT SID4 22h15m16s736ms.csv,1058.67738550125,1066.146502343787,748.39245,0.0,3537.3286,0.0,2105.3907249999997,2105.3907249999997,2.6653662558594675,1502.4842983719914,169388381.6802,1058.67738550125,1.0070551396911154,3537.3286,3537.3286,96351,1744.3993648389744,837.7927597774311,0.9922441051412821
INT SID4 22h15m16s932ms.csv,1076.9038240431248,1088.084999473371,751.4187,0.0,3598.5991,0.0,2153.903425,2153.903425,2.7202124986834275,1530.896277597419,172304611.8469,1076.9038240431248,1.0103827056610002,3598.5991,3598.5991,96085,1778.496231917573,857.4706220292206,0.9917715411798742
INT SID4 22h15m17s128ms.csv,1063.523895904375,1069.8871005265282,753.5166,0.0,3541.6953,0.0,2117.754375,2117.754375,2.6747177513163205,1508.553721588208,170163823.3447,1063.523895904375,1.0059831327219417,3541.6953,3541.6953,96503,1749.8717754919535,840.9381647913249,0.9923841192039107
INT SID4 22h15m17s327ms.csv,1066.5064630843751,1083.7162394694874,733.76035,0.0,3628.877,0.0,2128.3514,2128.3514,2.7092905986737184,1520.4833386903922,170641034.09350002,1066.5064630843751,1.0161365889291847,3628.877,3628.877,95485,1770.3719680997012,857.1767095628227,0.9906407815213722
INT SID4 22h15m17s526ms.csv,1061.3611231093748,1071.9247994386337,750.7997,0.0,3521.4104,0.0,2101.68985,2101.68985,2.6798119985965845,1508.4770558106616,169817779.6975,1061.3611231093748,1.0099529520153427,3521.4104,3521.4104,96013,1754.405010075719,842.6431229973952,0.9919202131393773
INT SID4 22h15m17s733ms.csv,1065.9145175168749,1077.193618681144,746.7227,0.0,3629.2256,0.0,2120.199575,2120.199575,2.69298404670286,1515.4248904573049,170546322.80269998,1065.9145175168749,1.0105816188624053,3629.2256,3629.2256,95825,1764.1520865671796,847.1662149102565,0.9912255563016085
INT SID4 22h15m17s933ms.csv,1066.67541439,1076.8943262919274,750.51495,0.0,3579.3887,0.0,2120.6482,2120.6482,2.6922358157298185,1515.7475322526952,170668066.3024,1066.67541439,1.0095801513413247,3579.3887,3579.3887,96049,1762.2085695613698,847.0990495556297,0.9917401337277578
INT SID4 22h15m18s132ms.csv,1046.9799044131248,1061.2249432715603,726.0291500000001,0.0,3525.0801,0.0,2087.58205,2087.58205,2.6530623581789006,1490.757613338522,167516784.7061,1046.9799044131248,1.013605837894682,3525.0801,3525.0801,95621,1736.148828164315,836.6147799074585,0.9910188247055984
INT SID4 22h15m18s327ms.csv,1053.638670189375,1061.5690597237715,745.6852,0.0,3505.5752,0.0,2100.653725,2100.653725,2.6539226493094286,1495.6858870016185,168582187.2303,1053.638670189375,1.0075266690173494,3505.5752,3505.5752,96510,1733.3817412993474,836.8282892126789,0.9923270933972821
INT SID4 22h15m18s523ms.csv,1053.406521174375,1069.5105594275128,728.25135,0.0,3625.6982,0.0,2108.059525,2108.059525,2.673776398568782,1501.1698726324814,168545043.3879,1053.406521174375,1.0152875816975042,3625.6982,3625.6982,95237,1752.0462861608407,843.2314614562039,0.9900002325851784
INT SID4 22h15m18s728ms.csv,1065.6334580118748,1072.2798268619792,755.2346,0.0,3575.6624,0.0,2127.83835,2127.83835,2.680699567154948,1511.7379097513342,170501353.2819,1065.6334580118748,1.006237012173495,3575.6624,3575.6624,96242,1757.273638184992,840.9281828352556,0.9919189861594708
INT SID4 22h15m18s932ms.csv,1076.098527821875,1071.7045288150975,785.5089,0.0,3513.8645,0.0,2145.59055,2145.59055,2.679261322037744,1518.7269208853727,172175764.4515,1076.098527821875,0.995916731699585,3513.8645,3513.8645,97145,1760.7562314756292,833.8363284358737,0.993453780510918
INT SID4 22h15m19s132ms.csv,1068.739768581875,1066.9631593030608,773.9393,0.0,3511.1145,0.0,2133.236175,2133.236175,2.667407898257652,1510.168189703886,170998362.9731,1068.739768581875,0.9983376596145828,3511.1145,3511.1145,96949,1751.6500373815102,831.8772024653466,0.9931131299825061
INT SID4 22h15m19s333ms.csv,1049.8726903312502,1047.0220029117445,765.09685,0.0,3444.7485,0.0,2086.8163,2086.8163,2.6175550072793614,1482.7275167374758,167979630.453,1049.8726903312502,0.9972847303813502,3444.7485,3444.7485,97082,1718.9533987021282,815.6668552874785,0.9934504165937678
